"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"383",14,"Jonathon Brooks",CAR,"RB109","14","3 out of 5 stars","-"
"384",14,"Kalel Mullings",TEN,"RB110","10","2 out of 5 stars","-"
"385",14,"Van Jefferson",TEN,"WR133","10","4 out of 5 stars","-33"
"386",14,"Tommy Tremble",CAR,"TE49","14","4 out of 5 stars","-"
"387",14,"Foster Moreau",NO,"TE50","11","3 out of 5 stars","-"
"388",14,"Robert Woods",PIT,"WR134","5","4 out of 5 stars","-"
"389",14,"Cincinnati Bengals",CIN,"DST26","10","2 out of 5 stars","-108"
"390",14,"Kenny Pickett",CLE,"QB41","9","2 out of 5 stars","-"
"391",14,"Kendrick Bourne",NE,"WR135","14","3 out of 5 stars","-"
"392",14,"New Orleans Saints",NO,"DST27","11","4 out of 5 stars","-44"
"393",14,"Indianapolis Colts",IND,"DST28","11","4 out of 5 stars","-96"
"394",14,"Ja'Lynn Polk",NE,"WR136","14","3 out of 5 stars","-72"
"395",14,"Greg Dortch",ARI,"WR137","8","4 out of 5 stars","-"
"396",14,"Jeremy McNichols",WAS,"RB111","12","2 out of 5 stars","-"
"397",14,"LeQuint Allen Jr.",JAC,"RB112","8","2 out of 5 stars","-"
"398",14,"Chad Ryland",ARI,"K30","8","3 out of 5 stars","-"
"399",14,"Stone Smartt",NYJ,"TE51","9","3 out of 5 stars","-"
"400",14,"Spencer Rattler",NO,"QB42","11","5 out of 5 stars","-58"
"401",14,"Jacob Cowing",SF,"WR138","14","4 out of 5 stars","-"
"402",14,"Arian Smith",NYJ,"WR139","9","4 out of 5 stars","-"
"403",14,"Jahan Dotson",PHI,"WR140","9","3 out of 5 stars","-"
"404",14,"D'Ernest Johnson",FA,"RB113","-","-","-"
"405",14,"Kenny McIntosh",SEA,"RB114","8","3 out of 5 stars","-"
"406",14,"Olamide Zaccheaus",CHI,"WR141","5","2 out of 5 stars","-"
"407",14,"Jalin Hyatt",NYG,"WR142","14","2 out of 5 stars","-"
"408",14,"Chris Tyree",NO,"RB115","11","4 out of 5 stars","-"
"409",14,"AJ Barner",SEA,"TE52","8","4 out of 5 stars","-"
"410",14,"Treylon Burks",TEN,"WR143","10","4 out of 5 stars","-"
"411",14,"Aidan O'Connell",LV,"QB43","8","3 out of 5 stars","-"
"412",15,"Craig Reynolds",DET,"RB116","8","2 out of 5 stars","-"
"413",15,"Josh Oliver",MIN,"TE53","6","3 out of 5 stars","-"
"414",15,"Grant Calcaterra",PHI,"TE54","9","3 out of 5 stars","-"
"415",15,"Darnell Washington",PIT,"TE55","5","3 out of 5 stars","-"
"416",15,"Jeremy Ruckert",NYJ,"TE56","9","3 out of 5 stars","-"
"417",15,"Mitchell Evans",CAR,"TE57","14","4 out of 5 stars","-"
"418",15,"Emari Demercado",ARI,"RB117","8","3 out of 5 stars","-"
"419",15,"Michael Carter",ARI,"RB118","8","3 out of 5 stars","-"
"420",15,"Jonathan Mingo",DAL,"WR144","10","2 out of 5 stars","-"
"421",15,"Cade Stover",HOU,"TE58","6","3 out of 5 stars","-"
"422",15,"Dillon Gabriel",CLE,"QB44","9","2 out of 5 stars","-"
"423",15,"Deuce Vaughn",DAL,"RB119","10","2 out of 5 stars","-"
"424",15,"Kalif Raymond",DET,"WR145","8","3 out of 5 stars","-"
"425",15,"Zay Jones",ARI,"WR146","8","4 out of 5 stars","-"
"426",15,"JuJu Smith-Schuster",KC,"WR147","10","3 out of 5 stars","-"
"427",15,"Will Howard",PIT,"QB45","5","4 out of 5 stars","-"
"428",15,"Julius Chestnut",TEN,"RB120","10","2 out of 5 stars","-"
"429",15,"Hunter Renfrow",CAR,"WR148","14","4 out of 5 stars","-"
"430",15,"Brevin Jordan",HOU,"TE59","6","3 out of 5 stars","-"
"431",15,"Greg Dulcich",NYG,"TE60","14","2 out of 5 stars","-"
"432",15,"Cordarrelle Patterson",PIT,"RB121","5","4 out of 5 stars","-"
"433",15,"Deshaun Watson",CLE,"QB46","9","2 out of 5 stars","-"
"434",15,"Luke Lachey",HOU,"TE61","6","3 out of 5 stars","-"
"435",15,"Tyler Goodson",IND,"RB122","11","2 out of 5 stars","-"
"436",15,"Tyler Johnson",NYJ,"WR149","9","4 out of 5 stars","-"
"437",15,"Mo Alie-Cox",IND,"TE62","11","3 out of 5 stars","-"
"438",15,"Malachi Corley",NYJ,"WR150","9","4 out of 5 stars","-"
"439",15,"Colby Parkinson",LAR,"TE63","8","4 out of 5 stars","-"
"440",15,"Javon Baker",NE,"WR151","14","3 out of 5 stars","-"
"441",15,"Joe Milton III",DAL,"QB47","10","2 out of 5 stars","-"
"442",15,"Efton Chism III",NE,"WR152","14","3 out of 5 stars","-"
"443",15,"Michael Gallup",WAS,"WR153","12","3 out of 5 stars","-"
"444",15,"Elijah Higgins",ARI,"TE64","8","5 out of 5 stars","-"
"445",15,"Ezekiel Elliott",FA,"RB123","-","-","-"
"446",15,"Marcus Yarns",NO,"RB124","11","4 out of 5 stars","-"
"447",15,"KeAndre Lambert-Smith",LAC,"WR154","12","3 out of 5 stars","-"
"448",15,"Josh Whyle",TEN,"TE65","10","3 out of 5 stars","-"
"449",15,"Jordan Watkins",SF,"WR155","14","4 out of 5 stars","-"
"450",15,"Tyler Badie",DEN,"RB125","12","2 out of 5 stars","-"
"451",15,"Malik Willis",GB,"QB48","5","2 out of 5 stars","-"
"452",15,"Jake Bobo",SEA,"WR156","8","3 out of 5 stars","-"
"453",15,"KhaDarel Hodge",ATL,"WR157","5","3 out of 5 stars","-"
"454",15,"Kylen Granson",PHI,"TE66","9","3 out of 5 stars","-"
"455",15,"Jase McClellan",FA,"RB126","-","-","-"
"456",15,"David Moore",CAR,"WR158","14","4 out of 5 stars","-"
"457",15,"Adam Trautman",DEN,"TE67","12","3 out of 5 stars","-"
"458",15,"Marcus Mariota",WAS,"QB49","12","2 out of 5 stars","-130"
"459",15,"Zach Wilson",MIA,"QB50","12","5 out of 5 stars","-"
"460",15,"Jelani Woods",IND,"TE68","11","3 out of 5 stars","-"
"461",15,"Clyde Edwards-Helaire",NO,"RB127","11","4 out of 5 stars","-"
"462",15,"Corey Kiner",SF,"RB128","14","3 out of 5 stars","-"
"463",15,"Carson Steele",KC,"RB129","10","2 out of 5 stars","-"
"464",15,"Jimmy Horn Jr.",CAR,"WR159","14","4 out of 5 stars","-"
"465",15,"Gerald Everett",FA,"TE69","-","-","-"
"466",15,"Michael Woods II",CLE,"WR160","9","2 out of 5 stars","-"
"467",15,"Devontez Walker",BAL,"WR161","7","3 out of 5 stars","-"
"468",15,"Cedrick Wilson Jr.",NO,"WR162","11","4 out of 5 stars","-"
"469",15,"Sam Howell",MIN,"QB51","6","2 out of 5 stars","-"
"470",15,"Mecole Hardman Jr.",GB,"WR163","5","2 out of 5 stars","-"
"471",15,"Drew Sample",CIN,"TE70","10","2 out of 5 stars","-"
"472",15,"Dylan Laube",LV,"RB130","8","2 out of 5 stars","-"
"473",15,"Tyrod Taylor",NYJ,"QB52","9","5 out of 5 stars","-"
"474",15,"Nick Nash",ATL,"WR164","5","3 out of 5 stars","-"
"475",16,"John Bates",WAS,"TE71","12","3 out of 5 stars","-"
"476",16,"Tanner Hudson",CIN,"TE72","10","2 out of 5 stars","-"
"477",16,"Kaden Prather",BUF,"WR165","7","3 out of 5 stars","-"
"478",16,"Payne Durham",TB,"TE73","9","3 out of 5 stars","-"
"479",16,"Brock Wright",DET,"TE74","8","3 out of 5 stars","-"
"480",16,"Derius Davis",LAC,"WR166","12","3 out of 5 stars","-"
"481",16,"Cooper Rush",BAL,"QB53","7","3 out of 5 stars","-"
"482",16,"Ricky White III",SEA,"WR167","8","3 out of 5 stars","-"
"483",16,"Harrison Bryant",PHI,"TE75","9","3 out of 5 stars","-"
"484",16,"Pierre Strong Jr.",CLE,"RB131","9","4 out of 5 stars","-"
"485",16,"Hassan Haskins",LAC,"RB132","12","2 out of 5 stars","-"
"486",16,"Ainias Smith",PHI,"WR168","9","3 out of 5 stars","-"
"487",16,"Justin Watson",HOU,"WR169","6","4 out of 5 stars","-"
"488",16,"Brevyn Spann-Ford",DAL,"TE76","10","2 out of 5 stars","-"
"489",16,"Eric Gray",NYG,"RB133","14","3 out of 5 stars","-"
"490",16,"Jared Wiley",KC,"TE77","10","3 out of 5 stars","-"
