"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"127",9,"Matthew Stafford",LAR,"QB20","8","3 out of 5 stars","+7"
"128",9,"Michael Pittman Jr.",IND,"WR51","11","4 out of 5 stars","-12"
"129",9,"Tua Tagovailoa",MIA,"QB21","12","5 out of 5 stars","-1"
"130",9,"Tyler Allgeier",ATL,"RB44","5","4 out of 5 stars","+30"
"131",9,"Kyle Pitts",ATL,"TE15","5","3 out of 5 stars","+16"
"132",9,"Trey Benson",ARI,"RB45","8","3 out of 5 stars","+7"
"133",9,"J.J. McCarthy",MIN,"QB22","6","2 out of 5 stars","-9"
"134",9,"Rashod Bateman",BAL,"WR52","7","3 out of 5 stars","+24"
"135",9,"Rico Dowdle",CAR,"RB46","14","3 out of 5 stars","+17"
"136",9,"Christian Kirk",HOU,"WR53","6","4 out of 5 stars","+7"
"137",9,"Colston Loveland",CHI,"TE16","5","4 out of 5 stars","-16"
"138",9,"Isaac Guerendo",SF,"RB47","14","3 out of 5 stars","+2"
"139",9,"Jaylen Wright",MIA,"RB48","12","4 out of 5 stars","+20"
"140",9,"Bryce Young",CAR,"QB23","14","3 out of 5 stars","+1"
"141",9,"Austin Ekeler",WAS,"RB49","12","2 out of 5 stars","-3"
"142",9,"Emeka Egbuka",TB,"WR54","9","3 out of 5 stars","-15"
"143",9,"Blake Corum",LAR,"RB50","8","3 out of 5 stars","+51"
"144",9,"Isaiah Likely",BAL,"TE17","7","3 out of 5 stars","+10"
"145",9,"Luther Burden III",CHI,"WR55","5","2 out of 5 stars","-13"
"146",9,"Hunter Henry",NE,"TE18","14","3 out of 5 stars","+17"
"147",9,"Marvin Mims Jr.",DEN,"WR56","12","3 out of 5 stars","-3"
"148",9,"Bhayshul Tuten",JAC,"RB51","8","2 out of 5 stars","-25"
"149",9,"Jake Ferguson",DAL,"TE19","10","2 out of 5 stars","-16"
"150",9,"Pat Freiermuth",PIT,"TE20","5","3 out of 5 stars","0"
"151",9,"Jalen McMillan",TB,"WR57","9","3 out of 5 stars","+11"
"152",9,"Michael Penix Jr.",ATL,"QB24","5","4 out of 5 stars","-17"
"153",9,"Zach Ertz",WAS,"TE21","12","3 out of 5 stars","+8"
"154",9,"Braelon Allen",NYJ,"RB52","9","5 out of 5 stars","+3"
"155",9,"Geno Smith",LV,"QB25","8","3 out of 5 stars","-6"
"156",9,"Matthew Golden",GB,"WR58","5","2 out of 5 stars","-48"
"157",9,"Quentin Johnston",LAC,"WR59","12","3 out of 5 stars","+28"
"158",9,"Romeo Doubs",GB,"WR60","5","2 out of 5 stars","+24"
"159",9,"Marquise Brown",KC,"WR61","10","3 out of 5 stars","-14"
"160",9,"Cedric Tillman",CLE,"WR62","9","2 out of 5 stars","+4"
"161",9,"Roschon Johnson",CHI,"RB53","5","3 out of 5 stars","+26"
"162",10,"J.K. Dobbins",DEN,"RB54","12","2 out of 5 stars","-26"
"163",10,"Jaydon Blue",DAL,"RB55","10","2 out of 5 stars","-38"
"164",10,"MarShawn Lloyd",GB,"RB56","5","4 out of 5 stars","+26"
"165",10,"Jerome Ford",CLE,"RB57","9","4 out of 5 stars","+6"
"166",10,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","0"
"167",10,"DeAndre Hopkins",BAL,"WR63","7","3 out of 5 stars","+14"
"168",10,"Adam Thielen",CAR,"WR64","14","4 out of 5 stars","+1"
"169",10,"Sam Darnold",SEA,"QB26","8","4 out of 5 stars","-13"
"170",10,"Kyle Williams",NE,"WR65","14","3 out of 5 stars","-5"
"171",10,"Tre Harris",LAC,"WR66","12","3 out of 5 stars","-29"
"172",10,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","+8"
"173",10,"Cade Otton",TB,"TE22","9","3 out of 5 stars","-5"
"174",10,"Alec Pierce",IND,"WR67","11","4 out of 5 stars","+23"
"175",10,"Audric Estime",DEN,"RB58","12","2 out of 5 stars","+50"
"176",10,"Baltimore Ravens",BAL,"DST3","7","3 out of 5 stars","+22"
"177",10,"Pittsburgh Steelers",PIT,"DST4","5","3 out of 5 stars","+15"
"178",10,"Xavier Legette",CAR,"WR68","14","4 out of 5 stars","-5"
"179",10,"Minnesota Vikings",MIN,"DST5","6","2 out of 5 stars","+17"
"180",10,"Mike Gesicki",CIN,"TE23","10","2 out of 5 stars","-2"
"181",10,"Cameron Ward",TEN,"QB27","10","2 out of 5 stars","-26"
"182",10,"Jalen Coker",CAR,"WR69","14","4 out of 5 stars","+73"
"183",10,"Nick Chubb",HOU,"RB59","6","2 out of 5 stars","-16"
"184",10,"Jaleel McLaughlin",DEN,"RB60","12","2 out of 5 stars","+58"
"185",10,"Kendre Miller",NO,"RB61","11","4 out of 5 stars","+101"
"186",10,"Kansas City Chiefs",KC,"DST6","10","1 out of 5 stars","+22"
"187",10,"Joshua Palmer",BUF,"WR70","7","3 out of 5 stars","+6"
"188",10,"Jayden Higgins",HOU,"WR71","6","4 out of 5 stars","-51"
"189",10,"Keenan Allen",FA,"WR72","-","-","-10"
"190",10,"Anthony Richardson Sr.",IND,"QB28","11","3 out of 5 stars","-20"
"191",10,"Houston Texans",HOU,"DST7","6","2 out of 5 stars","-3"
"192",10,"Buffalo Bills",BUF,"DST8","7","5 out of 5 stars","-3"
"193",10,"Jake Bates",DET,"K1","8","1 out of 5 stars","+58"
"194",10,"Kareem Hunt",KC,"RB62","10","2 out of 5 stars","-11"
"195",11,"Detroit Lions",DET,"DST9","8","1 out of 5 stars","+22"
"196",11,"Jack Bech",LV,"WR73","8","4 out of 5 stars","-43"
"197",11,"DeMario Douglas",NE,"WR74","14","3 out of 5 stars","+7"
"198",11,"Dalton Schultz",HOU,"TE24","6","3 out of 5 stars","+2"
"199",11,"Brandon Aubrey",DAL,"K2","10","4 out of 5 stars","+30"
"200",11,"New York Jets",NYJ,"DST10","9","5 out of 5 stars","+58"
"201",11,"Dontayvion Wicks",GB,"WR75","5","2 out of 5 stars","+48"
"202",11,"Dylan Sampson",CLE,"RB63","9","4 out of 5 stars","-27"
"203",11,"Los Angeles Chargers",LAC,"DST11","12","5 out of 5 stars","+8"
"204",11,"Michael Wilson",ARI,"WR76","8","4 out of 5 stars","+18"
"205",11,"Adonai Mitchell",IND,"WR77","11","4 out of 5 stars","+54"
"206",11,"Cole Kmet",CHI,"TE25","5","4 out of 5 stars","+15"
"207",11,"DJ Giddens",IND,"RB64","11","2 out of 5 stars","-5"
"208",11,"Wil Lutz",DEN,"K3","12","5 out of 5 stars","+54"
"209",11,"Andrei Iosivas",CIN,"WR78","10","3 out of 5 stars","+34"
"210",11,"Cameron Dicker",LAC,"K4","12","5 out of 5 stars","+35"
"211",11,"Seattle Seahawks",SEA,"DST12","8","3 out of 5 stars","+56"
"212",11,"Chris Boswell",PIT,"K5","5","1 out of 5 stars","+91"
"213",11,"Devin Neal",NO,"RB65","11","4 out of 5 stars","-18"
"214",11,"Wan'Dale Robinson",NYG,"WR79","14","2 out of 5 stars","-37"
"215",11,"Brenton Strange",JAC,"TE26","8","3 out of 5 stars","-43"
"216",11,"Darius Slayton",NYG,"WR80","14","2 out of 5 stars","-2"
"217",11,"Los Angeles Rams",LAR,"DST13","8","3 out of 5 stars","+10"
"218",11,"Chig Okonkwo",TEN,"TE27","10","3 out of 5 stars","-27"
"219",11,"Mason Taylor",NYJ,"TE28","9","3 out of 5 stars","-33"
"220",11,"Green Bay Packers",GB,"DST14","5","2 out of 5 stars","+15"
"221",11,"Chase McLaughlin",TB,"K6","9","3 out of 5 stars","+48"
"222",11,"Amari Cooper",FA,"WR81","-","-","-16"
"223",11,"Justice Hill",BAL,"RB66","7","4 out of 5 stars","-47"
"224",11,"Ka'imi Fairbairn",HOU,"K7","6","3 out of 5 stars","+29"
"225",11,"Evan McPherson",CIN,"K8","10","1 out of 5 stars","+69"
"226",11,"Aaron Rodgers",PIT,"QB29","5","4 out of 5 stars","-52"
"227",11,"Ja'Tavion Sanders",CAR,"TE29","14","4 out of 5 stars","+19"
"228",11,"Harrison Butker",KC,"K9","10","3 out of 5 stars","+50"
"229",11,"Jalen Tolbert",DAL,"WR82","10","2 out of 5 stars","+48"
"230",11,"Juwan Johnson",NO,"TE30","11","3 out of 5 stars","-21"
"231",11,"Russell Wilson",NYG,"QB30","14","1 out of 5 stars","-47"
"232",11,"Elijah Mitchell",KC,"RB67","10","2 out of 5 stars","-16"
"233",11,"Keaton Mitchell",BAL,"RB68","7","4 out of 5 stars","+68"
"234",11,"Kenneth Gainwell",PIT,"RB69","5","4 out of 5 stars","+26"
"235",11,"Jake Elliott",PHI,"K10","9","2 out of 5 stars","+75"
"236",11,"Antonio Gibson",NE,"RB70","14","4 out of 5 stars","+79"
"237",11,"Miles Sanders",DAL,"RB71","10","2 out of 5 stars","-4"
"238",11,"Tyler Bass",BUF,"K11","7","2 out of 5 stars","+79"
"239",11,"Devin Singletary",NYG,"RB72","14","3 out of 5 stars","+32"
"240",11,"Jason Sanders",MIA,"K12","12","2 out of 5 stars","+65"
"241",11,"Kayshon Boutte",NE,"WR83","14","3 out of 5 stars","+47"
"242",11,"Younghoe Koo",ATL,"K13","5","4 out of 5 stars","+66"
"243",11,"Kyle Monangai",CHI,"RB73","5","3 out of 5 stars","-25"
"244",11,"Devaughn Vele",DEN,"WR84","12","3 out of 5 stars","+60"
"245",11,"Jaylin Noel",HOU,"WR85","6","4 out of 5 stars","-32"
"246",11,"Calvin Austin III",PIT,"WR86","5","4 out of 5 stars","+27"
"247",11,"Ollie Gordon II",MIA,"RB74","12","4 out of 5 stars","-44"
"248",11,"San Francisco 49ers",SF,"DST15","14","5 out of 5 stars","-14"
"249",11,"Tampa Bay Buccaneers",TB,"DST16","9","3 out of 5 stars","+3"
"250",12,"Elijah Arroyo",SEA,"TE31","8","4 out of 5 stars","-2"
"251",12,"Elic Ayomanor",TEN,"WR87","10","4 out of 5 stars","+29"
"252",12,"Dallas Cowboys",DAL,"DST17","10","0 out of 5 stars","-33"
"253",12,"Raheem Mostert",LV,"RB75","8","2 out of 5 stars","-6"
"254",12,"Diontae Johnson",CLE,"WR88","9","2 out of 5 stars","+33"
"255",12,"Cleveland Browns",CLE,"DST18","9","3 out of 5 stars","+28"
"256",12,"Nick Westbrook-Ikhine",MIA,"WR89","12","3 out of 5 stars","+62"
"257",12,"Will Shipley",PHI,"RB76","9","3 out of 5 stars","-47"
"258",12,"Brandin Cooks",NO,"WR90","11","4 out of 5 stars","+79"
"259",12,"Tyler Lockett",TEN,"WR91","10","4 out of 5 stars","-5"
"260",12,"Mike Williams",LAC,"WR92","12","3 out of 5 stars","-3"
"261",12,"Trevor Etienne",CAR,"RB77","14","3 out of 5 stars","-5"
"262",12,"Jalen Royals",KC,"WR93","10","3 out of 5 stars","-39"
"263",12,"Joshua Karty",LAR,"K14","8","2 out of 5 stars","-"
"264",12,"Harold Fannin Jr.",CLE,"TE32","9","3 out of 5 stars","+18"
"265",12,"Noah Gray",KC,"TE33","10","3 out of 5 stars","-29"
"266",12,"Khalil Herbert",IND,"RB78","11","2 out of 5 stars","+55"
